location_group_id,cluster_id,cluster_name,gemeente_values,site_ids,silhouette_value,distance_to_assigned_centroid,pca_1,pca_2,pca_1_explained_variance_ratio,pca_2_explained_variance_ratio
LG0066,0,cluster_0,Mechelen,99|100,0.7027375105763413,1.2816752352086576,-1.4481367137415806,-0.6395916978625492,0.6535150186271345,0.21765012075981113
LG0067,0,cluster_0,Diest,101|102,0.1790136197375697,2.9414767445898087,1.8894574577144567,-1.5998773854811223,0.6535150186271345,0.21765012075981113
LG0068,0,cluster_0,Malle,103|104,0.7194913889428131,0.3849358673496751,-0.5981588739429679,0.10019587335792644,0.6535150186271345,0.21765012075981113
LG0069,0,cluster_0,Halle|Sint-Pieters-Leeuw,105|106,0.6286465228654148,1.2285111168157736,-0.27944696268755276,-0.49830671274158544,0.6535150186271345,0.21765012075981113
LG0070,0,cluster_0,Leuven,108,0.6354949256250675,1.2433784040799645,-0.17610141866800344,0.6816258288897197,0.6535150186271345,0.21765012075981113
LG0071,0,cluster_0,Zemst,109,0.6829480827455005,1.2126734205046907,-0.8514356559848241,1.0865432601024603,0.6535150186271345,0.21765012075981113
LG0072,0,cluster_0,Zaventem,111,0.5280137038794659,3.103689366100596,-1.652449279591597,2.571356376597085,0.6535150186271345,0.21765012075981113
LG0073,0,cluster_0,Westerlo,112,0.5638915876189734,2.2994259120559537,-0.8347945811058244,-2.0267469698953877,0.6535150186271345,0.21765012075981113
LG0074,0,cluster_0,Deinze|Nazareth,113|114,0.6863269206532732,1.385655132472816,-1.3279467015683748,0.8281526745980204,0.6535150186271345,0.21765012075981113
LG0075,0,cluster_0,Aalter,115,0.7224114763838265,0.5778899208220328,-0.7810770587990179,-0.04167494892776455,0.6535150186271345,0.21765012075981113
LG0076,0,cluster_0,Melle,116|117,0.5857655682543482,1.436963677646527,0.2561312877566603,1.1064745993291505,0.6535150186271345,0.21765012075981113
LG0077,0,cluster_0,Gent,118|119,0.6710626414522796,1.718013681894168,-1.6968299182389746,-0.8152447121600402,0.6535150186271345,0.21765012075981113
LG0078,0,cluster_0,Zele,120|121,0.6427894239181325,1.265878128971744,-0.3440568090431905,-0.5020462553479931,0.6535150186271345,0.21765012075981113
LG0079,0,cluster_0,Dendermonde,122|125,0.710050381674545,0.7764094306214868,-0.7795308679248351,-0.6141626181891221,0.6535150186271345,0.21765012075981113
LG0080,0,cluster_0,Beveren,123|124,0.6525272799062366,0.9361082967168746,0.05095782625388384,-0.6214530222168384,0.6535150186271345,0.21765012075981113
LG0081,0,cluster_0,Hamme,126,0.660318570435026,1.1909173197992102,-0.6316692048196076,0.5279198665691796,0.6535150186271345,0.21765012075981113
LG0082,0,cluster_0,Westerlo,127,0.540960603630847,2.4208118379375274,-0.7095959184239012,-1.7665414243330286,0.6535150186271345,0.21765012075981113
LG0083,0,cluster_0,Lokeren,128|129,0.6836335640794544,1.0953262010712026,-0.6852365149746507,-0.6986355504035912,0.6535150186271345,0.21765012075981113
LG0084,0,cluster_0,Deinze,131,0.1799374466181714,2.4800529213594125,1.8633070564971197,0.24279502287578136,0.6535150186271345,0.21765012075981113
LG0085,0,cluster_0,Lille,132|133,0.6384593993767848,0.9756438228613806,0.19752188495011624,-0.7547024128240298,0.6535150186271345,0.21765012075981113
LG0086,0,cluster_0,Dessel,134|135,0.7161969749920157,0.8370562758564217,-0.9696805352921297,-0.2174128013068844,0.6535150186271345,0.21765012075981113
